Handle,Title,Body (HTML),Vendor,Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Price,Variant Inventory Qty,Image Src,Image Position,Image Alt Text
rear-view-mid-rise-bikini,,,,,,,,,,,,,,https://www.justpynch.com/images/models/Models%20New/Playful/Rear%20View%20Mid%20Rise%20Bikini/ECOM_PL_MOAF_03_SY-PI-10043_SY-NS-10047_FST_BTM_BK_FT_SHOT01_9NWJ9.webp,5,Rear View Mid Rise Bikini - view 5
rear-view-mid-rise-bikini,,,,,,,,,,,,,,https://www.justpynch.com/images/models/Models%20New/Playful/Rear%20View%20Mid%20Rise%20Bikini/ECOM_PL_MOAF_03_SY-PI-10043_SY-NS-10047_FST_BTM_FR_FT_SHOT01_6901Q.webp,6,Rear View Mid Rise Bikini - view 6
rear-view-mid-rise-bikini,,,,,,,,,,,,,,https://www.justpynch.com/images/models/Models%20New/Playful/Rear%20View%20Mid%20Rise%20Bikini/ECOM_PL_MOAF_13_SY-PI-10043_AFD_BTM_SD_IC_SHOT01_HRH52.webp,7,Rear View Mid Rise Bikini - view 7
caught-you-looking-plunge-bralette,Caught You Looking Plunge Bralette,A beautifully crafted piece for your everyday essential. Join the waitlist for exclusive access.,PYNCH,bras,"Shararat,bras",TRUE,Size,XS,Color,Signature,CAU-001-SIG-XS,3500,10,https://www.justpynch.com/images/models/Models%20New/Playful/Caught%20You%20Looking%20Plunge%20Bralette/hf_20260731_091047_373c5121-f7db-4156-94fb-6ac8ea4889c7.webp,1,Caught You Looking Plunge Bralette - Signature
caught-you-looking-plunge-bralette,,,,,,,Size,S,Color,Signature,CAU-001-SIG-S,3500,10,,,
caught-you-looking-plunge-bralette,,,,,,,Size,M,Color,Signature,CAU-001-SIG-M,3500,10,,,
caught-you-looking-plunge-bralette,,,,,,,Size,L,Color,Signature,CAU-001-SIG-L,3500,10,,,
caught-you-looking-plunge-bralette,,,,,,,Size,XL,Color,Signature,CAU-001-SIG-XL,3500,10,,,
caught-you-looking-plunge-bralette,,,,,,,,,,,,,,https://www.justpynch.com/images/models/Models%20New/Playful/Caught%20You%20Looking%20Plunge%20Bralette/hf_20260731_085434_163bd672-b853-4d58-a6b1-87b0e07d4447.webp,2,Caught You Looking Plunge Bralette - view 2
caught-you-looking-plunge-bralette,,,,,,,,,,,,,,https://www.justpynch.com/images/models/Models%20New/Playful/Caught%20You%20Looking%20Plunge%20Bralette/hf_20260731_094022_00a4f3c0-0ec1-410f-9479-67577ee13bed.webp,3,Caught You Looking Plunge Bralette - view 3
caught-you-looking-plunge-bralette,,,,,,,,,,,,,,https://www.justpynch.com/images/models/Models%20New/Playful/Caught%20You%20Looking%20Plunge%20Bralette/hf_20260731_095154_7e024d18-69cf-43e3-8472-4b1fe626f0d3.webp,4,Caught You Looking Plunge Bralette - view 4
caught-you-looking-mid-rise-bikini,Caught You Looking Mid Rise Bikini,A beautifully crafted piece for your everyday essential. Join the waitlist for exclusive access.,PYNCH,panties,"Shararat,panties",TRUE,Size,XS,Color,Signature,CAU-001-SIG-XS,3500,10,https://www.justpynch.com/images/models/Models%20New/Playful/Caught%20You%20Looking%20Mid%20Rise%20Bikini/hf_20260731_091047_373c5121-f7db-4156-94fb-6ac8ea4889c7.webp,1,Caught You Looking Mid Rise Bikini - Signature
caught-you-looking-mid-rise-bikini,,,,,,,Size,S,Color,Signature,CAU-001-SIG-S,3500,10,,,
caught-you-looking-mid-rise-bikini,,,,,,,Size,M,Color,Signature,CAU-001-SIG-M,3500,10,,,
caught-you-looking-mid-rise-bikini,,,,,,,Size,L,Color,Signature,CAU-001-SIG-L,3500,10,,,
caught-you-looking-mid-rise-bikini,,,,,,,Size,XL,Color,Signature,CAU-001-SIG-XL,3500,10,,,
